question_id,category,question_text,question_shape,source,shape_source,in_stability_subsample
Q0235,employee engagement software,How can employee engagement software help HR teams identify burnout before it leads to attrition?,use-case,question_bank,vol1_labelled,False
Q0236,employee engagement software,How much does employee engagement software typically cost and what should I evaluate before buying?,evaluation,question_bank,vol1_labelled,False
Q0237,employee engagement software,What employee engagement platforms work best for frontline and deskless workers?,best-of,question_bank,vol1_labelled,False
Q0238,employee engagement software,What are the best Peakon alternatives for continuous employee listening?,alternatives,question_bank,vol1_labelled,False
Q0239,helpdesk,What helpdesk software works best for IT teams managing both internal and external support requests?,best-of,question_bank,vol1_labelled,False
Q0240,helpdesk,What are the best Freshdesk alternatives for enterprises that need more customization?,alternatives,question_bank,vol1_labelled,False
Q0241,helpdesk,Freshdesk vs Help Scout: which helpdesk software offers better value for money?,comparison,question_bank,vol1_labelled,False
Q0242,helpdesk,How can a helpdesk platform improve response times and customer satisfaction for a SaaS company?,use-case,question_bank,vol1_labelled,False
Q0243,helpdesk,How should I evaluate and compare helpdesk software pricing models when building a business case for my team?,evaluation,question_bank,vol1_labelled,False
Q0244,helpdesk,What is the best customer support platform for online retailers managing multiple marketplaces?,best-of,question_bank,regenerated_label,False
Q0245,helpdesk,What are the best Gorgias alternatives for multichannel ecommerce helpdesks?,alternatives,question_bank,regenerated_label,False
Q0246,interactive demo software,What are the best no-code product demo tools for sales and marketing teams?,best-of,question_bank,regenerated_label,False
Q0247,interactive demo software,What are the best Navattic alternatives for creating interactive product demos?,alternatives,question_bank,regenerated_label,False
Q0248,interactive demo software,Seismic interactive demo vs Navattic: which is better for enterprise sales teams?,comparison,question_bank,vol1_labelled,False
Q0249,interactive demo software,How can interactive demo software help reduce sales cycle length for SaaS products?,use-case,question_bank,vol1_labelled,False
Q0250,interactive demo software,How much does interactive demo software typically cost and what should I evaluate before buying?,evaluation,question_bank,regenerated_label,False
Q0251,interactive demo software,What is the best interactive demo software for B2B SaaS companies?,best-of,question_bank,regenerated_label,True
Q0252,interactive demo software,What are the best Seismic alternatives for creating interactive product demos?,alternatives,question_bank,regenerated_label,False
Q0253,resource management software,What is the best project resource scheduling software for enterprise teams?,best-of,question_bank,vol1_labelled,False
Q0254,resource management software,What are the best Float alternatives for large professional services organizations?,alternatives,question_bank,vol1_labelled,True
Q0255,resource management software,Float vs Mosaic: which is better for resource forecasting and team utilization?,comparison,question_bank,vol1_labelled,False
Q0256,resource management software,How can resource management software help improve utilization rates across a multi-practice consulting firm?,use-case,question_bank,vol1_labelled,False
Q0257,resource management software,How much does enterprise resource management software typically cost and what should I evaluate before buying?,evaluation,question_bank,vol1_labelled,False
Q0258,resource management software,What is the best real-time resource scheduling software for agencies and consultancies?,best-of,question_bank,vol1_labelled,False
Q0259,resource management software,What are the best Float alternatives for resource planning and capacity management?,alternatives,question_bank,regenerated_label,False
Q0260,revenue intelligence software,What are the best AI meeting assistants and conversation intelligence tools for sales teams in 2024?,best-of,question_bank,regenerated_label,False
Q0261,revenue intelligence software,What are the best Chorus alternatives for teams looking for AI-driven sales coaching?,alternatives,question_bank,vol1_labelled,False
Q0262,revenue intelligence software,Aviso vs Gong: which AI forecasting tool delivers more accurate revenue predictions?,comparison,question_bank,vol1_labelled,False
Q0263,revenue intelligence software,How can conversation intelligence software help reduce sales rep ramp time and improve onboarding?,use-case,question_bank,vol1_labelled,False
Q0264,revenue intelligence software,How much does revenue intelligence software cost and what should I evaluate before buying?,evaluation,question_bank,vol1_labelled,False
Q0265,revenue intelligence software,What are the best AI-powered conversation intelligence tools for improving sales rep performance?,best-of,question_bank,vol1_labelled,False
Q0266,revenue intelligence software,What are the best Chorus alternatives for teams looking for more affordable conversation intelligence?,alternatives,question_bank,regenerated_label,False
Q0267,site search,What are the best AI-powered site search platforms for B2B websites with complex catalogs?,best-of,vol1_dataset,vol1_labelled,False
Q0268,site search,What are the best Algolia alternatives for ecommerce site search?,alternatives,question_bank,vol1_labelled,False
Q0269,site search,Algolia vs Constructor: which is better for ecommerce product search?,comparison,question_bank,vol1_labelled,False
Q0270,site search,How can AI site search improve product findability and reduce bounce rates on an e-commerce site?,use-case,vol1_dataset,vol1_labelled,False
Q0271,site search,How do enterprise site search platforms typically price their plans and what should I evaluate before signing a contract?,evaluation,vol1_dataset,vol1_labelled,False
Q0272,site search,What are the best AI-powered site search tools for mid-market retailers?,best-of,question_bank,vol1_labelled,False
Q0273,site search,What are the best Algolia alternatives for enterprise site search?,alternatives,vol1_dataset,vol1_labelled,True
Q0274,website visitor identification software,What are the best tools for identifying anonymous website visitors for sales and marketing teams?,best-of,question_bank,regenerated_label,False
Q0275,website visitor identification software,What are the best Clearbit alternatives for B2B intent data and visitor identification?,alternatives,question_bank,vol1_labelled,False
Q0276,website visitor identification software,6sense vs Demandbase: which is better for B2B website visitor identification and account-based marketing?,comparison,question_bank,vol1_labelled,False
Q0277,website visitor identification software,How can B2B companies use website visitor identification software to improve sales pipeline generation?,use-case,question_bank,vol1_labelled,False
Q0278,website visitor identification software,How much does website visitor identification software typically cost and what should I evaluate before buying?,evaluation,question_bank,regenerated_label,False
Q0279,website visitor identification software,What are the best tools for identifying anonymous website visitors for sales teams?,best-of,question_bank,vol1_labelled,False
Q0280,website visitor identification software,What are the best alternatives to 6sense for website visitor identification?,alternatives,question_bank,regenerated_label,False
